code,age,ageValue
E09000016,age36,3892
E09000016,age37,3834
E09000016,age38,3779
E09000016,age39,3713
E09000016,age40,3857
E09000016,age41,3717
E09000016,age42,3415
E09000016,age43,3171
E09000016,age44,3281
E09000016,age45,3223
E09000016,age46,3281
E09000016,age47,3159
E09000016,age48,3238
E09000016,age49,3313
E09000016,age50,3456
E09000016,age51,3435
E09000016,age52,3476
E09000016,age53,3451
E09000016,age54,3553
E09000016,age55,3525
E09000016,age56,3464
E09000016,age57,3501
E09000016,age58,3308
E09000016,age59,3160
E09000016,age60,3173
E09000016,age61,3021
E09000016,age62,2989
E09000016,age63,2918
E09000016,age64,2651
E09000017,age16,3677
E09000017,age17,3663
E09000017,age18,3607
E09000017,age19,3924
E09000017,age20,3809
E09000017,age21,4070
E09000017,age22,4074
E09000017,age23,3989
E09000017,age24,3870
E09000017,age25,3927
E09000017,age26,4109
E09000017,age27,4039
E09000017,age28,4223
E09000017,age29,4472
E09000017,age30,4566
E09000017,age31,4657
E09000017,age32,4788
E09000017,age33,4775
E09000017,age34,4894
E09000017,age35,4970
E09000017,age36,5023
E09000017,age37,5027
E09000017,age38,5061
E09000017,age39,4844
E09000017,age40,5097
E09000017,age41,5060
E09000017,age42,4760
E09000017,age43,4336
E09000017,age44,4209
E09000017,age45,4205
E09000017,age46,4066
E09000017,age47,4152
E09000017,age48,3901
E09000017,age49,3960
E09000017,age50,3994
E09000017,age51,4130
E09000017,age52,3812
E09000017,age53,4024
E09000017,age54,3937
E09000017,age55,3886
E09000017,age56,3696
E09000017,age57,3568
E09000017,age58,3568
E09000017,age59,3409
E09000017,age60,3338
E09000017,age61,3138
E09000017,age62,2980
E09000017,age63,2763
E09000017,age64,2662
E09000018,age16,3431
E09000018,age17,3399
E09000018,age18,3109
E09000018,age19,2721
E09000018,age20,2901
E09000018,age21,2883
E09000018,age22,3307
E09000018,age23,3709
E09000018,age24,3956
E09000018,age25,4003
E09000018,age26,3955
E09000018,age27,4123
E09000018,age28,4329
E09000018,age29,4398
E09000018,age30,4650
E09000018,age31,4859
E09000018,age32,5165
E09000018,age33,5210
E09000018,age34,5025
E09000018,age35,5325
E09000018,age36,5156
E09000018,age37,5129
E09000018,age38,5165
E09000018,age39,5127
E09000018,age40,5201
E09000018,age41,5148
E09000018,age42,4759
E09000018,age43,4601
E09000018,age44,4449
E09000018,age45,4384
E09000018,age46,4168
E09000018,age47,4141
E09000018,age48,4102
E09000018,age49,4112
E09000018,age50,4008
E09000018,age51,3851
E09000018,age52,3867
E09000018,age53,3705
E09000018,age54,3511
E09000018,age55,3560
E09000018,age56,3384
E09000018,age57,3333
E09000018,age58,3141
E09000018,age59,2952
E09000018,age60,2924
E09000018,age61,2894
E09000018,age62,2653
E09000018,age63,2376
E09000018,age64,2474
E09000019,age16,1758
E09000019,age17,1808
E09000019,age18,2409
E09000019,age19,2840
E09000019,age20,3046
E09000019,age21,3276
E09000019,age22,3526
E09000019,age23,4076
E09000019,age24,4552
E09000019,age25,5216
E09000019,age26,5577
E09000019,age27,5847
E09000019,age28,6076
E09000019,age29,6034
E09000019,age30,6067
E09000019,age31,5932
E09000019,age32,5362
E09000019,age33,5063
E09000019,age34,4889
E09000019,age35,4455
E09000019,age36,4121
E09000019,age37,3790
E09000019,age38,3480
E09000019,age39,3159
E09000019,age40,3335
E09000019,age41,3256
E09000019,age42,2864
E09000019,age43,2653
E09000019,age44,2694
E09000019,age45,2581
E09000019,age46,2590
E09000019,age47,2470
E09000019,age48,2526
E09000019,age49,2437
E09000019,age50,2672
E09000019,age51,2648
E09000019,age52,2488
E09000019,age53,2537
E09000019,age54,2552
E09000019,age55,2648
E09000019,age56,2423
E09000019,age57,2308
E09000019,age58,2321
E09000019,age59,2128
E09000019,age60,2021
E09000019,age61,1942
E09000019,age62,1783
E09000019,age63,1580
E09000019,age64,1489
E09000020,age16,1177
E09000020,age17,1527
E09000020,age18,1320
E09000020,age19,1416
E09000020,age20,2126
E09000020,age21,1991
E09000020,age22,2605
E09000020,age23,2691
E09000020,age24,2789
E09000020,age25,2748
E09000020,age26,2605
E09000020,age27,2590
E09000020,age28,2580
E09000020,age29,2542
E09000020,age30,2375
E09000020,age31,2529
E09000020,age32,2404
E09000020,age33,2505
E09000020,age34,2264
E09000020,age35,2351
E09000020,age36,2107
E09000020,age37,2030
E09000020,age38,2057
E09000020,age39,2023
E09000020,age40,2031
E09000020,age41,2035
E09000020,age42,1843
E09000020,age43,1895
E09000020,age44,1785
E09000020,age45,2047
E09000020,age46,1940
E09000020,age47,2071
E09000020,age48,2053
E09000020,age49,2088
E09000020,age50,2281
E09000020,age51,2067
E09000020,age52,2329
E09000020,age53,2198
E09000020,age54,2207
E09000020,age55,2172
E09000020,age56,2137
E09000020,age57,2135
E09000020,age58,2094
E09000020,age59,1902
E09000020,age60,1779
E09000020,age61,1618
E09000020,age62,1561
E09000020,age63,1453
E09000020,age64,1418
E09000021,age16,1978
E09000021,age17,1942
E09000021,age18,1740
E09000021,age19,1848
E09000021,age20,2075
E09000021,age21,2260
E09000021,age22,2264
E09000021,age23,2335
E09000021,age24,2221
E09000021,age25,2104
E09000021,age26,2151
E09000021,age27,2164
E09000021,age28,2210
E09000021,age29,2357
E09000021,age30,2367
E09000021,age31,2417
E09000021,age32,2573
E09000021,age33,2496
E09000021,age34,2432
E09000021,age35,2509
E09000021,age36,2634
E09000021,age37,2535
E09000021,age38,2713
E09000021,age39,2589
E09000021,age40,2844
E09000021,age41,2813
E09000021,age42,2701
E09000021,age43,2610
E09000021,age44,2524
E09000021,age45,2556
E09000021,age46,2558
E09000021,age47,2538
E09000021,age48,2556
E09000021,age49,2482
E09000021,age50,2496
E09000021,age51,2345
E09000021,age52,2360
E09000021,age53,2231
E09000021,age54,2203
E09000021,age55,2195
E09000021,age56,2128
E09000021,age57,2065
E09000021,age58,1968
E09000021,age59,1832
E09000021,age60,1819
E09000021,age61,1732
E09000021,age62,1656
E09000021,age63,1489
E09000021,age64,1526
E09000022,age16,2960
E09000022,age17,3049
E09000022,age18,2978
E09000022,age19,2927
E09000022,age20,3091
E09000022,age21,3454
E09000022,age22,4952
E09000022,age23,6788
E09000022,age24,8470
E09000022,age25,9238
E09000022,age26,9611
E09000022,age27,9086
E09000022,age28,8886
E09000022,age29,8519
E09000022,age30,8515
E09000022,age31,7655
E09000022,age32,7312
E09000022,age33,6846
E09000022,age34,6233
E09000022,age35,5946
E09000022,age36,5264
E09000022,age37,5209
E09000022,age38,4980
E09000022,age39,5034
E09000022,age40,4863
E09000022,age41,4729
E09000022,age42,4430
E09000022,age43,4188
E09000022,age44,4233
E09000022,age45,4271
E09000022,age46,4161
E09000022,age47,3933
E09000022,age48,3964
E09000022,age49,4087
E09000022,age50,4021
E09000022,age51,4175
E09000022,age52,4194
E09000022,age53,4195
E09000022,age54,3883
E09000022,age55,4074
E09000022,age56,3771
E09000022,age57,3624
E09000022,age58,3506
E09000022,age59,3212
E09000022,age60,3017
E09000022,age61,2742
E09000022,age62,2631
E09000022,age63,2491
E09000022,age64,2290
E09000023,age16,3355
E09000023,age17,3242
E09000023,age18,3002
E09000023,age19,2807
E09000023,age20,3042
E09000023,age21,3512
E09000023,age22,3531
E09000023,age23,4187
E09000023,age24,4538
E09000023,age25,4892
E09000023,age26,5147
E09000023,age27,5508
E09000023,age28,5970
E09000023,age29,6066
E09000023,age30,6194
E09000023,age31,6224
E09000023,age32,6397
E09000023,age33,6061
E09000023,age34,5975
E09000023,age35,6108
E09000023,age36,5520
E09000023,age37,5416
E09000023,age38,5252
E09000023,age39,5210
E09000023,age40,5148
E09000023,age41,4978
E09000023,age42,4758
E09000023,age43,4590
E09000023,age44,4274
E09000023,age45,4193
E09000023,age46,4346
E09000023,age47,4107
E09000023,age48,4088
E09000023,age49,4048
E09000023,age50,4255
E09000023,age51,3919
E09000023,age52,3983
E09000023,age53,3810
E09000023,age54,4021
E09000023,age55,3877
E09000023,age56,4004
E09000023,age57,3628
E09000023,age58,3718
E09000023,age59,3360
E09000023,age60,3084
E09000023,age61,2807
E09000023,age62,2722
E09000023,age63,2547
E09000023,age64,2344
E09000024,age16,2430
E09000024,age17,2302
E09000024,age18,1953
E09000024,age19,1579
E09000024,age20,1639
E09000024,age21,1862
E09000024,age22,2287
E09000024,age23,2560
E09000024,age24,2819
E09000024,age25,3114
E09000024,age26,3385
E09000024,age27,3282
E09000024,age28,3725
E09000024,age29,3706
E09000024,age30,3734
E09000024,age31,3906
E09000024,age32,3746
E09000024,age33,3883
E09000024,age34,3875
E09000024,age35,3814
E09000024,age36,3779
E09000024,age37,3784
E09000024,age38,3735
E09000024,age39,3842
E09000024,age40,3854
E09000024,age41,3747
E09000024,age42,3648
E09000024,age43,3398
E09000024,age44,3472
E09000024,age45,3141
