code,category,value,areaName
E09000030,selfFT,10216,Tower Hamlets
E09000030,jobSeeking,11891,Tower Hamlets
E09000030,studentEmployeePT,4430,Tower Hamlets
E09000030,studentEmployeeFT,1513,Tower Hamlets
E09000030,studentSelfEmployerPT,57,Tower Hamlets
E09000030,studentSelfEmployerFT,14,Tower Hamlets
E09000030,studentSelfPT,644,Tower Hamlets
E09000030,studentSelfFT,184,Tower Hamlets
E09000030,studentJobSeeking,3255,Tower Hamlets
E09000030,retired,14714,Tower Hamlets
E09000030,student,24195,Tower Hamlets
E09000030,care,21324,Tower Hamlets
E09000030,sick,10159,Tower Hamlets
E09000030,otherInactive,11951,Tower Hamlets
E09000031,employeePT,25292,Waltham Forest
E09000031,employeeFT,78731,Waltham Forest
E09000031,selfEmployerPT,1201,Waltham Forest
E09000031,selfEmployerFT,3255,Waltham Forest
E09000031,selfPT,11137,Waltham Forest
E09000031,selfFT,16054,Waltham Forest
E09000031,jobSeeking,9983,Waltham Forest
E09000031,studentEmployeePT,2522,Waltham Forest
E09000031,studentEmployeeFT,1157,Waltham Forest
E09000031,studentSelfEmployerPT,77,Waltham Forest
E09000031,studentSelfEmployerFT,83,Waltham Forest
E09000031,studentSelfPT,517,Waltham Forest
E09000031,studentSelfFT,348,Waltham Forest
E09000031,studentJobSeeking,1478,Waltham Forest
E09000031,retired,25673,Waltham Forest
E09000031,student,13724,Waltham Forest
E09000031,care,13640,Waltham Forest
E09000031,sick,7844,Waltham Forest
E09000031,otherInactive,9468,Waltham Forest
E09000032,employeePT,21650,Wandsworth
E09000032,employeeFT,132043,Wandsworth
E09000032,selfEmployerPT,1069,Wandsworth
E09000032,selfEmployerFT,3867,Wandsworth
E09000032,selfPT,12884,Wandsworth
E09000032,selfFT,14709,Wandsworth
E09000032,jobSeeking,9279,Wandsworth
E09000032,studentEmployeePT,2505,Wandsworth
E09000032,studentEmployeeFT,1029,Wandsworth
E09000032,studentSelfEmployerPT,40,Wandsworth
E09000032,studentSelfEmployerFT,18,Wandsworth
E09000032,studentSelfPT,499,Wandsworth
E09000032,studentSelfFT,128,Wandsworth
E09000032,studentJobSeeking,1708,Wandsworth
E09000032,retired,26906,Wandsworth
E09000032,student,16228,Wandsworth
E09000032,care,12560,Wandsworth
E09000032,sick,7360,Wandsworth
E09000032,otherInactive,9077,Wandsworth
E09000033,employeePT,13372,Westminster
E09000033,employeeFT,64250,Westminster
E09000033,selfEmployerPT,972,Westminster
E09000033,selfEmployerFT,3110,Westminster
E09000033,selfPT,8097,Westminster
E09000033,selfFT,8891,Westminster
E09000033,jobSeeking,7045,Westminster
E09000033,studentEmployeePT,1741,Westminster
E09000033,studentEmployeeFT,726,Westminster
E09000033,studentSelfEmployerPT,44,Westminster
E09000033,studentSelfEmployerFT,23,Westminster
E09000033,studentSelfPT,412,Westminster
E09000033,studentSelfFT,107,Westminster
E09000033,studentJobSeeking,1498,Westminster
E09000033,retired,19329,Westminster
E09000033,student,19662,Westminster
E09000033,care,11196,Westminster
E09000033,sick,8482,Westminster
E09000033,otherInactive,8513,Westminster
