code,hours_worked,hours_workedValue
E07000202,16_30,14038
E07000202,31_48,39598
E07000202,49plus,6660
E07000203,15less,5744
E07000203,16_30,9965
E07000203,31_48,27543
E07000203,49plus,6771
E07000207,15less,7819
E07000207,16_30,11146
E07000207,31_48,36120
E07000207,49plus,11897
E07000208,15less,4291
E07000208,16_30,6929
E07000208,31_48,23623
E07000208,49plus,5066
E07000209,15less,8478
E07000209,16_30,11683
E07000209,31_48,39744
E07000209,49plus,9869
E07000210,15less,5437
E07000210,16_30,7692
E07000210,31_48,23132
E07000210,49plus,6080
E07000211,15less,8043
E07000211,16_30,13015
E07000211,31_48,44451
E07000211,49plus,9618
E07000212,15less,5215
E07000212,16_30,7107
E07000212,31_48,24677
E07000212,49plus,5458
E07000213,15less,4992
E07000213,16_30,8722
E07000213,31_48,32083
E07000213,49plus,5742
E07000214,15less,4659
E07000214,16_30,7725
E07000214,31_48,27139
E07000214,49plus,5840
E07000215,15less,4896
E07000215,16_30,7593
E07000215,31_48,23964
E07000215,49plus,6122
E07000216,15less,7740
E07000216,16_30,11152
E07000216,31_48,32672
E07000216,49plus,9158
E07000217,15less,5531
E07000217,16_30,8792
E07000217,31_48,31711
E07000217,49plus,6708
E07000218,15less,2913
E07000218,16_30,5913
E07000218,31_48,19336
E07000218,49plus,3592
E07000219,15less,5095
E07000219,16_30,11966
E07000219,31_48,40460
E07000219,49plus,5593
E07000220,15less,4994
E07000220,16_30,9547
E07000220,31_48,36959
E07000220,49plus,6606
E07000221,15less,7823
E07000221,16_30,12446
E07000221,31_48,36968
E07000221,49plus,8999
E07000222,15less,7788
E07000222,16_30,12597
E07000222,31_48,44328
E07000222,49plus,8035
E07000223,15less,3437
E07000223,16_30,6764
E07000223,31_48,16875
E07000223,49plus,2749
E07000224,15less,9099
E07000224,16_30,15675
E07000224,31_48,40561
E07000224,49plus,7856
E07000225,15less,7926
E07000225,16_30,11612
E07000225,31_48,29448
E07000225,49plus,7379
E07000226,15less,6322
E07000226,16_30,11132
E07000226,31_48,36266
E07000226,49plus,5179
E07000227,15less,9144
E07000227,16_30,13681
E07000227,31_48,40356
E07000227,49plus,8986
E07000228,15less,8973
E07000228,16_30,14525
E07000228,31_48,43860
E07000228,49plus,9214
E07000229,15less,6050
E07000229,16_30,11417
E07000229,31_48,31338
E07000229,49plus,4752
E07000234,15less,4780
E07000234,16_30,9234
E07000234,31_48,27520
E07000234,49plus,5753
E07000235,15less,4397
E07000235,16_30,7757
E07000235,31_48,19218
E07000235,49plus,4428
E07000236,15less,3675
E07000236,16_30,7887
E07000236,31_48,27280
E07000236,49plus,3850
E07000237,15less,5101
E07000237,16_30,10355
E07000237,31_48,31303
E07000237,49plus,4869
E07000238,15less,6891
E07000238,16_30,12156
E07000238,31_48,36385
E07000238,49plus,8228
E07000239,15less,4465
E07000239,16_30,9833
E07000239,31_48,26608
E07000239,49plus,4883
E07000240,15less,8037
E07000240,16_30,12552
E07000240,31_48,40974
E07000240,49plus,11308
E07000241,15less,6773
E07000241,16_30,10529
E07000241,31_48,34414
E07000241,49plus,6433
E07000242,15less,8653
E07000242,16_30,13325
E07000242,31_48,44328
E07000242,49plus,10218
E07000243,15less,4066
E07000243,16_30,8221
E07000243,31_48,29016
E07000243,49plus,4154
E07000244,15less,13502
E07000244,16_30,23342
E07000244,31_48,56377
E07000244,49plus,13144
E07000245,15less,8639
E07000245,16_30,15970
E07000245,31_48,53528
E07000245,49plus,11482
E07000246,15less,8010
E07000246,16_30,15614
E07000246,31_48,40916
E07000246,49plus,8754
E08000001,15less,11725
E08000001,16_30,27750
E08000001,31_48,75764
E08000001,49plus,10199
E08000002,15less,8126
E08000002,16_30,18005
E08000002,31_48,54514
E08000002,49plus,7838
E08000003,15less,25672
E08000003,16_30,48753
E08000003,31_48,142505
E08000003,49plus,17353
E08000004,15less,9088
E08000004,16_30,22246
E08000004,31_48,59308
E08000004,49plus,7564
E08000005,15less,8024
E08000005,16_30,19554
E08000005,31_48,59047
E08000005,49plus,7834
E08000006,15less,11306
E08000006,16_30,23988
E08000006,31_48,81921
E08000006,49plus,10391
E08000007,15less,13170
E08000007,16_30,27032
E08000007,31_48,86908
E08000007,49plus,12697
E08000008,15less,8523
E08000008,16_30,20690
E08000008,31_48,68222
E08000008,49plus,8219
E08000009,15less,10658
E08000009,16_30,20998
E08000009,31_48,68817
E08000009,49plus,11085
E08000010,15less,12340
E08000010,16_30,29585
E08000010,31_48,98905
E08000010,49plus,13784
E08000011,15less,5416
E08000011,16_30,14661
E08000011,31_48,44340
E08000011,49plus,5075
E08000012,15less,21722
E08000012,16_30,43205
E08000012,31_48,125475
E08000012,49plus,15348
E08000013,15less,6605
E08000013,16_30,15741
E08000013,31_48,52995
E08000013,49plus,7282
E08000014,15less,12151
E08000014,16_30,26895
E08000014,31_48,74317
E08000014,49plus,11234
E08000015,15less,13409
E08000015,16_30,29540
E08000015,31_48,84595
E08000015,49plus,11959
E08000016,15less,9142
E08000016,16_30,22850
E08000016,31_48,68527
E08000016,49plus,11161
E08000017,15less,11361
E08000017,16_30,28521
E08000017,31_48,83659
E08000017,49plus,14317
E08000018,15less,9993
E08000018,16_30,25040
E08000018,31_48,71465
E08000018,49plus,11305
E08000019,15less,25656
E08000019,16_30,54640
E08000019,31_48,142795
E08000019,49plus,18916
E08000021,15less,14916
E08000021,16_30,26898
E08000021,31_48,72848
E08000021,49plus,10415
E08000022,15less,7898
E08000022,16_30,20231
E08000022,31_48,60931
E08000022,49plus,8205
E08000023,15less,5108
E08000023,16_30,13427
E08000023,31_48,38273
E08000023,49plus,5700
E08000024,15less,9391
E08000024,16_30,25313
E08000024,31_48,73524
E08000024,49plus,8924
E08000025,15less,49418
E08000025,16_30,96764
E08000025,31_48,261443
E08000025,49plus,34793
E08000026,15less,14424
E08000026,16_30,28615
E08000026,31_48,95752
E08000026,49plus,11352
E08000027,15less,13105
E08000027,16_30,29703
E08000027,31_48,88508
E08000027,49plus,13324
E08000028,15less,12726
E08000028,16_30,29568
E08000028,31_48,87725
E08000028,49plus,11053
E08000029,15less,9825
E08000029,16_30,18037
E08000029,31_48,59863
E08000029,49plus,10214
E08000030,15less,10648
E08000030,16_30,25252
E08000030,31_48,71975
E08000030,49plus,10658
E08000031,15less,9886
E08000031,16_30,22279
E08000031,31_48,69418
E08000031,49plus,9726
E08000032,15less,21924
E08000032,16_30,52883
E08000032,31_48,129284
E08000032,49plus,17046
E08000033,15less,9199
E08000033,16_30,19957
E08000033,31_48,55532
E08000033,49plus,8693
E08000034,15less,18857
E08000034,16_30,41776
E08000034,31_48,112439
E08000034,49plus,17012
E08000035,15less,35882
E08000035,16_30,73020
E08000035,31_48,231990
E08000035,49plus,33172
E08000036,15less,12950
E08000036,16_30,32221
E08000036,31_48,103426
E08000036,49plus,16044
E08000037,15less,7400
E08000037,16_30,18135
E08000037,31_48,54932
E08000037,49plus,7051
E09000001,15less,386
E09000001,16_30,499
E09000001,31_48,2760
E09000001,49plus,1706
E09000002,15less,10801
E09000002,16_30,20086
E09000002,31_48,55490
E09000002,49plus,8211
E09000003,15less,23760
E09000003,16_30,35920
E09000003,31_48,101785
E09000003,49plus,24710
E09000004,15less,11593
E09000004,16_30,20988
E09000004,31_48,73640
E09000004,49plus,11764
E09000005,15less,18564
E09000005,16_30,30956
E09000005,31_48,93506
E09000005,49plus,17971
E09000006,15less,16708
E09000006,16_30,27359
E09000006,31_48,97180
E09000006,49plus,20875
E09000007,15less,11879
E09000007,16_30,15126
E09000007,31_48,55453
E09000007,49plus,20053
E09000008,15less,20311
E09000008,16_30,35258
E09000008,31_48,114645
E09000008,49plus,19191
E09000009,15less,19422
E09000009,16_30,31572
E09000009,31_48,103442
E09000009,49plus,20590
E09000010,15less,17931
E09000010,16_30,32888
E09000010,31_48,79164
E09000010,49plus,13881
E09000011,15less,13717
E09000011,16_30,24120
E09000011,31_48,87019
E09000011,49plus,18081
E09000012,15less,14022
E09000012,16_30,25452
E09000012,31_48,76457
E09000012,49plus,18379
E09000013,15less,9497
E09000013,16_30,13108
E09000013,31_48,56608
E09000013,49plus,18880
E09000014,15less,16523
E09000014,16_30,26943
E09000014,31_48,74963
E09000014,49plus,15952
E09000015,15less,13761
E09000015,16_30,22778
E09000015,31_48,73682
E09000015,49plus,14816
E09000016,15less,12636
E09000016,16_30,22574
E09000016,31_48,76496
E09000016,49plus,13075
E09000017,15less,14778
E09000017,16_30,25736
E09000017,31_48,87797
E09000017,49plus,14492
E09000018,15less,15624
E09000018,16_30,24697
E09000018,31_48,84207
E09000018,49plus,14272
E09000019,15less,11025
E09000019,16_30,15871
E09000019,31_48,67481
E09000019,49plus,20593
E09000020,15less,7610
E09000020,16_30,9995
E09000020,31_48,33155
E09000020,49plus,18680
E09000021,15less,9292
