code,category,value
E14000635,technical,6836
E14000635,admin,4863
E14000635,skilledTrade,5277
E14000635,service,4467
E14000635,sales,3560
E14000635,manual,3255
E14000635,elementary,4384
E14000636,N/A,61163
E14000636,management,9946
E14000636,professional,16025
E14000636,technical,8308
E14000636,admin,5370
E14000636,skilledTrade,4175
E14000636,service,4115
E14000636,sales,2965
E14000636,manual,2203
E14000636,elementary,3242
E14000637,N/A,53410
E14000637,management,6998
E14000637,professional,10624
E14000637,technical,7183
E14000637,admin,4949
E14000637,skilledTrade,5179
E14000637,service,4882
E14000637,sales,3554
E14000637,manual,3517
E14000637,elementary,4709
E14000638,N/A,51856
E14000638,management,5741
E14000638,professional,6755
E14000638,technical,4685
E14000638,admin,3744
E14000638,skilledTrade,4197
E14000638,service,3400
E14000638,sales,2911
E14000638,manual,1693
E14000638,elementary,2821
E14000639,N/A,47978
E14000639,management,12756
E14000639,professional,17844
E14000639,technical,9231
E14000639,admin,3181
E14000639,skilledTrade,1502
E14000639,service,2705
E14000639,sales,2137
E14000639,manual,1190
E14000639,elementary,2512
E14000640,N/A,52629
E14000640,management,6312
E14000640,professional,11744
E14000640,technical,6358
E14000640,admin,3852
E14000640,skilledTrade,3808
E14000640,service,3982
E14000640,sales,4011
E14000640,manual,2580
E14000640,elementary,4991
E14000641,N/A,59943
E14000641,management,4130
E14000641,professional,9695
E14000641,technical,5084
E14000641,admin,3610
E14000641,skilledTrade,3514
E14000641,service,3346
E14000641,sales,3026
E14000641,manual,2529
E14000641,elementary,4477
E14000642,N/A,58440
E14000642,management,3651
E14000642,professional,3672
E14000642,technical,3275
E14000642,admin,3035
E14000642,skilledTrade,4737
E14000642,service,4852
E14000642,sales,3090
E14000642,manual,2633
E14000642,elementary,3581
E14000643,N/A,51930
E14000643,management,4674
E14000643,professional,5991
E14000643,technical,5077
E14000643,admin,3921
E14000643,skilledTrade,5263
E14000643,service,3934
E14000643,sales,3268
E14000643,manual,5399
E14000643,elementary,4712
E14000644,N/A,63968
E14000644,management,6793
E14000644,professional,12321
E14000644,technical,8599
E14000644,admin,5220
E14000644,skilledTrade,5578
E14000644,service,6884
E14000644,sales,4760
E14000644,manual,3769
E14000644,elementary,5969
E14000645,N/A,60698
E14000645,management,7199
E14000645,professional,11363
E14000645,technical,7495
E14000645,admin,4510
E14000645,skilledTrade,5824
E14000645,service,4642
E14000645,sales,3409
E14000645,manual,3646
E14000645,elementary,4155
E14000646,N/A,54005
E14000646,management,8114
E14000646,professional,11013
E14000646,technical,7238
E14000646,admin,4563
E14000646,skilledTrade,4804
E14000646,service,3989
E14000646,sales,3423
E14000646,manual,2913
E14000646,elementary,3976
E14000647,N/A,41460
E14000647,management,3605
E14000647,professional,5960
E14000647,technical,4567
E14000647,admin,2702
