code,category,value
W07000043,male,41437
W07000044,female,35817
W07000044,male,36012
W07000045,female,42322
W07000045,male,40043
W07000046,female,40222
W07000046,male,37837
W07000047,female,38720
W07000047,male,39695
W07000048,female,42026
W07000048,male,39992
W07000049,female,35154
W07000049,male,34216
W07000050,female,46343
W07000050,male,45864
W07000051,female,46925
W07000051,male,43419
W07000052,female,34697
W07000052,male,33474
W07000053,female,42420
W07000053,male,40218
W07000054,female,43407
W07000054,male,41635
W07000055,female,42563
W07000055,male,41349
W07000056,female,47605
W07000056,male,45626
W07000057,female,30700
W07000057,male,29164
W07000058,female,28866
W07000058,male,27002
W07000059,female,38007
W07000059,male,36197
W07000060,female,37736
W07000060,male,35268
W07000061,female,29165
W07000061,male,28359
W07000062,female,36180
W07000062,male,34590
W07000063,female,32223
W07000063,male,31524
W07000064,female,36512
W07000064,male,34963
W07000065,female,39812
W07000065,male,37819
W07000066,female,39762
W07000066,male,37858
W07000067,female,37604
W07000067,male,36036
W07000068,female,35244
W07000068,male,34178
W07000069,female,37256
W07000069,male,35663
W07000070,female,36189
W07000070,male,34435
W07000071,female,38060
W07000071,male,36411
W07000072,female,34065
W07000072,male,32839
W07000073,female,43132
W07000073,male,42628
W07000074,female,39364
W07000074,male,37713
W07000075,female,41564
W07000075,male,39943
W07000076,female,44262
W07000076,male,41692
W07000077,female,37751
W07000077,male,36615
W07000078,female,53148
W07000078,male,49458
W07000079,female,49298
W07000079,male,45750
W07000080,female,58089
W07000080,male,55953
